ps -aux >> 03.report.process.shell.txt

USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root      1211  0.0  0.0  25108  2892 ?        Ss   08:37   0:00 /usr/sbin/cron -f
syslog    1225  0.0  0.0 240572  4308 ?        Ssl  08:37   0:00 /usr/sbin/rsyslogd -n
root      1270  0.0  0.0   2492   796 ?        Ss   08:37   0:00 /usr/sbin/acpid
root      1271  0.0  0.0  57968  7956 ?        Ss   08:37   0:00 /usr/sbin/cupsd -l
root      1274  0.0  0.0  16356  4048 ?        Ss   08:37   0:00 /usr/bin/system76-power daemon
root      1278  0.0  0.1 151388  9624 ?        Ssl  08:37   0:00 /usr/sbin/thermald --no-daemon --dbus-enable
root      1284  0.0  0.0  94292  3412 ?        Ssl  08:37   0:00 /usr/sbin/irqbalance --foreground
avahi     1496  0.0  0.0  18504   320 ?        S    08:37   0:00 avahi-daemon: chroot helper
root      1523  0.0  0.1 222164 11024 ?        Ssl  08:37   0:00 /usr/sbin/cups-browsed
root      1562  0.0  0.1 267400 11064 ?        Ssl  08:37   0:00 /usr/lib/policykit-1/polkitd --no-debug
root      1743  0.0  0.0 270708  7756 ?        Ssl  08:38   0:00 /usr/sbin/gdm3
root      1757  0.0  0.1 211828  8964 ?        Sl   08:38   0:00 gdm-session-worker [pam/gdm-launch-environment]
mysql     1785  0.0  2.1 1324420 174632 ?      Sl   08:38   0:03 /usr/sbin/mysqld --daemonize --pid-file=/run/mysqld/mysqld.pid
gdm       1791  0.0  0.0  42112  7976 ?        Ss   08:38   0:00 /lib/systemd/systemd --user
gdm       1815  0.0  0.0  58912  2816 ?        S    08:38   0:00 (sd-pam)
gdm       1864  0.0  0.0 189028  6052 tty1     Ssl+ 08:38   0:00 /usr/lib/gdm3/gdm-x-session gnome-session --autostart /usr/share/gdm/greeter/autostart
gdm       1879  0.0  0.3 314896 29552 tty1     Sl+  08:38   0:00 /usr/lib/xorg/Xorg vt1 -displayfd 3 -auth /run/user/121/gdm/Xauthority -background none -noreset -keeptty -verbose 3
gdm       1928  0.0  0.0  21692  4532 ?        Ss   08:38   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gdm       1931  0.0  0.1 468976 15672 tty1     Sl+  08:38   0:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
gdm       1935  0.0  0.1 320856  8932 ?        Ssl  08:38   0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
gdm       1938  0.0  0.0 262616  7060 ?        Ssl  08:38   0:00 /usr/lib/gvfs/gvfsd
gdm       1943  0.0  0.0 321552  8000 ?        Sl   08:38   0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/121/gvfs -f -o big_writes
gdm       1953  0.0  0.0  21356  4144 ?        S    08:38   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
gdm       1956  0.0  0.0 184252  6808 ?        Sl   08:38   0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
root      1987  0.0  0.0  11668  6072 ?        S    08:38   0:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /run/dhclient-wlp7s0.pid -lf /var/lib/NetworkManager/dhclient-2c07021b-ae51-49cd-8bc1-d04a53cfcac1-wlp7s0.lease -cf /var/lib/NetworkManager/dhclient-wlp7s0.conf wlp7s0
gdm       1990  0.0  1.7 3200708 139788 tty1   Sl+  08:38   0:02 /usr/bin/gnome-shell
gdm       2176  0.0  0.2 1459316 16948 ?       Ssl  08:38   0:00 /usr/bin/pulseaudio --daemonize=no
rtkit     2183  0.0  0.0 163036  2724 ?        SNsl 08:38   0:00 /usr/lib/rtkit/rtkit-daemon
gdm       2353  0.0  0.1 329368  9660 tty1     Sl   08:38   0:00 ibus-daemon --xim --panel disable
gdm       2357  0.0  0.0 254880  7984 tty1     Sl   08:38   0:00 /usr/lib/ibus/ibus-dconf
gdm       2360  0.0  0.2 244928 22876 tty1     Sl   08:38   0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
gdm       2368  0.0  0.1 254860  8272 ?        Sl   08:38   0:00 /usr/lib/ibus/ibus-portal
root      2383  0.0  0.1 287152  9164 ?        Ssl  08:38   0:00 /usr/lib/upower/upowerd
root      2405  0.2  0.5 387780 45900 ?        Ssl  08:38   0:15 /usr/lib/packagekit/packagekitd
gdm       2411  0.0  0.2 393004 23760 tty1     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
gdm       2416  0.0  0.1 254804  8460 tty1     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
gdm       2419  0.0  0.2 244044 21784 tty1     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
gdm       2420  0.0  0.3 485996 24292 tty1     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-color
gdm       2421  0.0  0.1 286728 14504 tty1     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
gdm       2422  0.0  0.0 254276  6132 tty1     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
gdm       2423  0.0  0.2 392340 22720 tty1     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
gdm       2424  0.0  0.2 962580 23532 tty1     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
gdm       2425  0.0  0.0 176692  5448 tty1     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
gdm       2426  0.0  0.3 680680 25720 tty1     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-power
gdm       2427  0.0  0.1 207328  8420 tty1     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
gdm       2428  0.0  0.0 176708  5608 tty1     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
gdm       2429  0.0  0.0 250428  5556 tty1     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
gdm       2430  0.0  0.1 269772 10980 tty1     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
gdm       2431  0.0  0.1 340544  9816 tty1     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
gdm       2432  0.0  0.1 289180  9984 tty1     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-sound
gdm       2433  0.0  0.2 322788 22872 tty1     Sl+  08:38   0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
colord    2542  0.0  0.1 277588 15892 ?        Ssl  08:38   0:00 /usr/lib/x86_64-linux-gnu/colord
gdm       2599  0.0  0.0 181188  7832 tty1     Sl   08:38   0:00 /usr/lib/ibus/ibus-engine-simple
root      2670  0.0  0.1 212032  9136 ?        Sl   08:38   0:00 gdm-session-worker [pam/gdm-password]
dumdum    2675  0.0  0.0  42232  7980 ?        Ss   08:38   0:00 /lib/systemd/systemd --user
dumdum    2689  0.0  0.0 206376  2860 ?        S    08:38   0:00 (sd-pam)
dumdum    2737  0.0  0.0 265136  7456 ?        Sl   08:38   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
